epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
84,1569.41,2.02431,1.13961,0.00233,0.71381,0.50982,0.58342,0.31455,1.99175,1.21708,0.00326,0.0014522,0.0014522,0.0014522
85,1587.84,2.01813,1.14224,0.00235,0.7093,0.50509,0.57416,0.31029,1.99639,1.21001,0.00327,0.0014456,0.0014456,0.0014456
86,1606.21,2.00413,1.13112,0.00234,0.68585,0.50793,0.57037,0.30464,2.00667,1.26155,0.00325,0.001439,0.001439,0.001439
87,1624.79,2.02858,1.1332,0.00228,0.70496,0.50099,0.56914,0.31164,1.97768,1.25241,0.00321,0.0014324,0.0014324,0.0014324
88,1643.68,2.01806,1.13871,0.00232,0.70879,0.5073,0.57579,0.31201,1.9802,1.24394,0.00329,0.0014258,0.0014258,0.0014258
89,1662.94,2.02583,1.12922,0.00231,0.69787,0.51768,0.57373,0.3117,1.97875,1.23351,0.00322,0.0014192,0.0014192,0.0014192
90,1681.94,2.01044,1.11738,0.00225,0.72058,0.50542,0.57695,0.31675,1.97115,1.20147,0.00322,0.0014126,0.0014126,0.0014126
91,1700.53,1.99259,1.11618,0.0023,0.69393,0.51028,0.57416,0.31368,1.98091,1.21889,0.00323,0.001406,0.001406,0.001406
92,1719.05,1.97356,1.11108,0.00228,0.71066,0.51092,0.58087,0.31635,1.98284,1.21065,0.00325,0.0013994,0.0013994,0.0013994
93,1738.16,2.0067,1.12281,0.00229,0.70746,0.5117,0.57792,0.31805,1.9587,1.2113,0.00322,0.0013928,0.0013928,0.0013928
94,1756.96,2.01909,1.11743,0.00229,0.69861,0.51421,0.57803,0.31509,1.97822,1.21807,0.00325,0.0013862,0.0013862,0.0013862
95,1776.08,2.01735,1.11255,0.00228,0.69926,0.51626,0.57458,0.31504,1.97568,1.2312,0.00321,0.0013796,0.0013796,0.0013796
96,1794.83,2.00772,1.115,0.00228,0.71049,0.5003,0.56911,0.31185,1.99258,1.24246,0.00325,0.001373,0.001373,0.001373
97,1813.17,1.98205,1.08427,0.00226,0.7078,0.51589,0.58144,0.32026,1.97129,1.1989,0.00324,0.0013664,0.0013664,0.0013664
98,1831.83,1.99057,1.11413,0.00227,0.70496,0.50512,0.57117,0.31237,1.98294,1.22505,0.00325,0.0013598,0.0013598,0.0013598
99,1850.77,2.02093,1.12232,0.00228,0.70932,0.5227,0.58528,0.3228,1.97939,1.21004,0.00323,0.0013532,0.0013532,0.0013532
100,1869.47,1.98147,1.09042,0.00224,0.71869,0.52175,0.58333,0.32023,1.97425,1.19544,0.00321,0.0013466,0.0013466,0.0013466
101,1887.62,1.98576,1.09687,0.00229,0.71692,0.51153,0.5809,0.3172,1.97609,1.20811,0.00322,0.00134,0.00134,0.00134
